------------------------------------------------------------------------------------
导出信息：
姓名：张文森
支付宝账户：18336968029
起始时间：[2024-09-04 00:00:00]    终止时间：[2025-09-03 23:59:59]
导出交易类型：[全部]
导出时间：[2025-09-04 18:36:05]
共1409笔记录
收入：138笔 15955.47元
支出：665笔 16157.16元
不计收支：606笔 445308.95元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-09-03 20:32:11,转账红包,云账户综合服务平台,/,云账户,收入,16.89,,交易成功,20250903020070011570900090028060	,1102793986802176611	,,
2025-09-03 11:56:33,投资理财,余额宝,jin***@cmfchina.com,余额宝-自动转入,不计收支,8.80,账户余额,交易成功,20250903019130101000900014211702	,20250903009130501000900089497084	,,
2025-09-03 08:24:12,日用百货,沪松公路五店,180***@qq.com,上海全家便利店,支出,0.80,宁波银行信用卡(4573)&碰一下立减,交易成功,2025090322001445901428087220	,SXA1O106628399925	,,
2025-09-03 02:26:49,投资理财,招商财富宝A,/,余额宝-2025.09.02-收益发放,不计收支,0.10,余额宝,交易成功,20250903367977226901	,	,,
2025-09-02 11:36:57,转账红包,云账户综合服务平台,/,云账户,收入,8.80,,交易成功,20250902020070011530900075676023	,1102296928873857948	,,
2025-09-02 08:23:01,日用百货,沪松公路五店,180***@qq.com,上海全家便利店,支出,0.80,宁波银行信用卡(4573)&碰一下立减,交易成功,2025090222001445901419674049	,SXA1O106561376725	,,
2025-09-02 02:02:30,投资理财,招商财富宝A,/,余额宝-2025.09.01-收益发放,不计收支,0.10,余额宝,交易成功,20250902362200759901	,	,,
2025-09-01 09:18:37,投资理财,余额宝,jin***@cmfchina.com,余额宝-自动转入,不计收支,14.10,账户余额,交易成功,20250901019130101000900011811672	,20250901009130501000900088182962	,,
2025-09-01 08:32:21,日用百货,沪松公路五店,180***@qq.com,上海全家便利店,支出,0.80,宁波银行信用卡(4573)&碰一下立减,交易成功,2025090122001445901422448284	,SXA1O106495303625	,,
2025-09-01 02:18:50,投资理财,招商财富宝A,/,余额宝-2025.08.31-收益发放,不计收支,0.10,余额宝,交易成功,20250901356507909901	,	,,
2025-08-31 21:51:18,转账红包,云账户综合服务平台,/,云账户,收入,14.10,,交易成功,20250831020070011580900062030358	,1101726795004629077	,,
